Diplommatinidae
 Arinia linnei Maassen, 2008
 Arinia micro Marzuki & Foon, 2016
 Diplommatina adversa (H. Adams & A. Adams, 1851)
 Diplommatina azlani Marzuki, 2019
 Diplommatina bidentata Vermeulen, Liew & Schilthuizen, 2015
 Diplommatina busanensis Godwin-Austen, 1889
 Diplommatina concinna H. Adams, 1872
 Diplommatina heteropleura Vermeulen & Khalik, 2021
 Diplommatina isseli Godwin-Austen, 1889
 Diplommatina laidlawi Sykes, 1903
 Diplommatina maduana maduana Laidlaw, 1949
 Diplommatina moluensis E. A. Smith, 1893
 Diplommatina onyx Fulton, 1901
 Diplommatina spinosa Godwin-Austen, 1889
 Diplommatina toretos Vermeulen, 1993
 Diplommatina tweediei Laidlaw, 1949
 Diplommatina tylocheilos Vermeulen, Liew & Schilthuizen, 2015
 Opisthostoma ballorum Vermeulen, 1991
 Opisthostoma brachyacrum brachyacrum Thompson, 1978
 Opisthostoma brachyacrum lambi (Vermeulen, 1991)
 Opisthostoma cryptodon Vermeulen, 1991
 Opisthostoma planiapex Vermeulen, 1991
 Opisthostoma simile Vermeulen, 1994
 Opisthostoma tridens Vermeulen, 1991
 Plectostoma austeni (E. A. Smith, 1894)
 Plectostoma everetti (E. A. Smith, 1893)
 Plectostoma margaretchanae Marzuki, Liew & Mohd-Azlan, 2021
 Plectostoma wallacei busauense (E. A. Smith, 1893)
 Plectostoma wallacei teinostoma (Vermeulen, 1994)
 Plectostoma wallacei wallacei Ancey, 1887
